orderid,menuitemid
1,7
1,18
1,13
1,8
2,4
2,2
2,8
2,10
2,21
3,2
3,20
3,2
4,20
4,1
4,14
4,2
5,14
6,14
6,5
6,19
6,19
7,18
8,13
8,5
8,20
9,3
9,7
10,6
10,8
10,18
10,14
11,8
11,13
12,16
12,20
12,19
13,16
13,15
13,3
14,10
14,9
14,18
14,2
15,6
16,2
16,18
17,8
17,6
17,2
17,14
18,8
19,6
19,1
19,7
20,19
20,6
21,5
21,14
21,19
22,9
22,13
22,5
22,11
23,3
23,19
23,15
24,14
24,11
24,3
24,20
24,13
25,11
25,13
26,3
26,21
26,7
26,11
26,17
27,7
27,1
27,11
27,13
28,19
28,15
28,12
28,10
28,6
29,10
29,14
29,20
29,8
30,3
30,12
30,5
30,20
30,10
31,15
31,19
31,8
32,19
33,9
33,6
33,7
33,12
34,6
34,5
34,20
34,18
34,14
35,12
36,17
36,14
36,19
36,20
36,3
37,2
37,6
37,1
38,10
38,14
38,16
38,21
39,13
39,21
39,18
40,6
40,4
41,19
41,7
41,21
42,13
42,20
42,12
42,6
42,6
43,21
43,12
43,6
43,14
44,5
44,4
44,5
44,10
45,4
45,17
45,20
45,7
45,11
46,7
46,13
47,8
47,12
47,19
47,12
48,3
49,17
49,13
49,9
49,15
49,4
50,5
50,5
50,7
51,6
51,11
51,5
51,12
52,9
52,18
52,4
53,5
53,19
53,12
54,8
55,18
55,2
55,16
56,13
56,9
56,17
56,14
57,20
57,12
57,18
58,16
58,4
58,19
58,1
58,20
59,20
59,3
60,12
60,15
60,4
60,1
60,13
61,21
61,21
61,9
61,11
62,17
62,12
63,1
63,6
63,11
64,3
64,19
64,5
65,13
65,15
66,9
66,7
66,13
67,13
67,19
67,18
68,2
69,18
70,1
70,4
70,10
71,11
72,17
73,3
73,8
73,12
73,17
73,11
74,2
74,21
74,21
74,15
75,11
75,18
75,5
76,15
77,21
77,13
78,17
79,17
79,4
80,14
80,14
80,15
81,16
82,6
82,18
82,16
82,2
83,17
83,5
83,4
83,7
84,16
84,18
84,2
85,3
85,2
85,3
85,11
85,5
86,16
86,15
86,15
86,11
87,4
87,2
87,10
87,12
88,14
88,9
88,20
89,8
89,15
90,1
90,5
90,14
90,17
91,7
92,20
93,11
93,9
93,8
94,11
94,15
95,20
96,3
96,18
96,3
97,2
97,3
97,8
98,21
98,18
98,2
98,10
98,16
99,5
100,15
100,12
100,12
100,5
101,5
101,15
102,12
102,9
102,17
102,21
103,16
103,9
103,19
103,14
104,10
104,1
104,5
104,16
104,16
105,6
105,11
106,19
106,8
106,8
106,18
107,15
107,7
107,1
108,9
108,7
108,13
108,15
109,8
109,5
109,15
110,11
110,16
110,10
110,16
111,20
111,16
111,8
111,3
112,2
112,12
112,11
112,8
112,12
113,11
113,17
113,7
113,20
114,18
114,13
114,13
114,9
114,11
115,16
115,19
115,15
116,20
117,1
117,20
117,19
117,1
118,7
118,5
118,9
118,10
119,20
120,14
121,8
121,12
121,15
122,11
122,10
122,20
123,15
123,16
123,16
123,20
124,3
124,20
124,15
124,14
125,8
125,3
126,21
126,15
126,4
126,5
127,16
128,5
128,7
129,4
129,10
129,7
130,16
130,5
130,2
131,14
131,11
131,9
131,8
131,14
132,10
132,9
133,1
134,21
134,4
135,14
136,1
136,17
136,7
136,5
137,15
137,1
137,12
137,1
137,6
138,20
138,9
139,12
139,9
139,8
139,10
140,7
140,9
140,20
140,4
141,15
141,10
142,17
142,20
143,12
143,19
143,5
143,17
144,12
144,1
144,15
145,1
145,13
145,4
145,19
145,4
146,4
146,7
146,14
147,3
147,16
147,5
147,1
148,19
148,5
148,16
148,21
148,18
149,21
149,15
149,6
149,20
149,9
150,8
151,16
151,17
151,16
152,18
152,11
152,16
152,20
152,18
153,1
153,19
153,13
153,12
154,18
154,9
154,11
155,18
155,19
155,21
155,21
156,1
156,15
157,1
157,12
157,1
157,7
157,20
158,19
158,2
158,13
159,14
159,4
160,12
160,20
161,10
161,3
161,4
162,4
162,4
162,19
163,17
163,13
163,10
164,3
164,11
164,4
164,5
165,21
165,6
165,17
166,18
166,18
166,8
166,21
167,1
168,4
168,5
168,6
168,21
169,10
169,21
169,11
170,4
170,14
170,15
171,13
171,16
171,12
171,19
171,16
172,18
172,11
172,15
172,15
173,20
173,1
173,16
174,17
175,16
175,19
175,9
175,9
175,21
176,7
176,3
176,5
177,16
177,20
177,20
177,6
177,6
178,9
178,13
179,10
180,9
180,17
180,12
180,4
180,1
181,4
182,12
182,20
182,19
182,19
182,6
183,17
183,2
183,11
183,5
183,6
184,3
184,6
185,20
185,17
185,17
186,3
186,1
186,15
187,15
187,4
187,9
187,18
188,19
188,12
188,1
189,21
189,18
189,11
190,16
190,17
190,7
190,9
191,9
191,9
192,18
193,14
193,9
194,19
194,8
195,17
195,12
195,3
195,14
196,1
196,7
196,4
196,21
197,19
198,21
198,11
198,13
199,4
200,12
200,14
200,21
201,17
201,20
201,5
202,12
202,14
202,1
202,16
202,17
203,18
203,18
203,15
203,21
203,10
204,7
204,16
204,21
205,10
206,3
206,18
206,1
206,15
206,5
207,12
207,18
207,12
207,13
208,13
208,16
208,8
208,9
209,10
209,12
209,15
209,13
210,11
210,2
210,7
211,21
211,13
211,19
211,16
211,21
212,5
212,4
213,16
213,7
214,3
214,18
214,16
214,5
214,9
215,17
215,1
215,11
215,8
216,5
216,12
217,3
217,1
217,18
217,13
218,9
218,15
218,12
218,16
218,12
219,3
219,19
219,7
219,15
220,21
220,17
220,20
220,20
221,21
221,5
221,20
221,15
222,10
222,11
222,19
222,17
222,3
223,9
223,3
223,12
223,18
224,12
225,11
225,15
226,15
226,13
226,1
226,12
226,5
227,12
227,20
227,10
227,21
227,1
228,19
228,9
228,14
228,10
228,2
229,5
230,10
230,10
231,17
231,17
231,15
231,14
231,8
232,21
232,8
232,10
232,14
233,18
233,6
234,2
234,3
234,5
234,11
234,6
235,11
235,11
236,9
236,8
236,11
236,19
236,11
237,1
237,8
237,19
237,19
237,21
238,3
238,9
238,11
239,4
239,8
239,6
239,9
240,3
241,7
242,11
243,1
243,15
243,9
244,15
245,21
245,16
245,17
245,9
246,3
247,2
247,7
247,1
247,21
248,9
248,8
248,9
249,9
249,19
249,14
249,15
250,13
250,1
250,17
251,3
251,5
251,20
251,5
251,4
252,13
252,19
253,9
254,13
255,5
256,4
256,6
256,5
257,2
257,13
257,6
258,19
258,4
259,15
259,20
260,15
260,15
260,4
260,1
261,17
262,8
262,20
262,14
263,21
264,2
264,21
264,16
264,17
265,5
265,21
265,8
265,1
265,15
266,14
266,3
266,21
267,8
267,12
267,11
267,20
267,7
268,19
268,14
268,5
268,19
268,17
269,21
269,19
269,17
269,14
270,9
270,13
270,5
270,11
270,6
271,15
271,9
271,10
271,6
271,19
272,8
272,6
273,2
273,2
273,12
273,19
274,3
274,15
274,9
274,2
274,4
275,19
276,17
276,8
276,2
277,14
277,2
277,18
277,2
278,20
278,1
278,2
279,16
280,18
280,18
280,7
280,11
281,8
282,13
282,10
282,18
282,21
282,12
283,9
283,10
283,18
283,17
283,13
284,8
284,16
284,8
284,15
284,14
285,10
285,9
286,5
286,4
286,21
287,10
288,7
288,21
288,13
288,18
289,10
289,17
289,17
289,2
290,4
291,12
292,1
292,6
293,2
294,6
294,11
295,21
295,4
295,14
296,13
296,15
296,7
296,9
296,2
297,8
298,19
298,14
298,9
298,8
298,11
299,16
299,9
300,16
300,6
300,6
300,1
300,8
301,18
301,7
302,10
303,11
303,10
303,7
303,7
304,3
304,4
304,6
304,3
304,7
305,21
305,4
306,10
306,9
307,13
307,17
307,14
307,20
308,20
309,12
309,20
309,15
310,5
310,9
310,11
310,14
311,16
311,11
311,15
311,4
312,5
312,13
312,9
312,18
313,7
313,20
314,5
314,16
314,21
315,12
315,12
315,6
315,21
315,10
316,4
316,3
316,2
317,7
317,13
317,17
318,2
318,2
318,19
318,16
318,15
319,10
320,20
320,21
321,15
321,20
321,19
321,4
321,9
322,14
322,13
322,1
322,3
322,2
323,15
323,3
323,19
323,21
324,16
324,21
324,19
324,17
325,4
325,5
326,10
326,10
326,14
326,15
327,13
328,9
328,10
328,15
328,20
328,7
329,15
329,21
330,6
331,12
331,3
331,9
331,6
331,21
332,10
332,1
332,11
332,1
332,6
333,19
333,3
334,8
334,14
334,17
334,2
334,7
335,8
335,7
336,12
336,21
336,17
337,7
338,12
338,6
338,18
338,4
339,7
339,2
339,15
339,20
339,18
340,19
340,14
341,13
341,5
341,16
341,17
342,10
342,14
343,15
343,7
343,19
344,1
345,6
345,11
346,18
346,10
346,2
347,15
348,1
349,16
350,11
350,13
350,1
350,5
351,8
351,18
351,6
351,1
351,14
352,18
352,16
353,10
353,2
354,13
354,15
354,21
354,10
355,5
355,20
355,18
355,9
356,16
356,2
356,16
357,14
358,11
358,20
358,18
358,17
358,3
359,1
360,16
360,15
360,10
360,13
361,4
361,18
361,16
361,8
361,10
362,10
363,10
363,21
363,19
364,20
364,17
364,10
364,6
364,5
365,20
365,2
365,7
365,13
366,13
366,1
366,4
366,11
367,9
367,15
367,11
368,5
368,9
368,7
368,3
368,3
369,14
369,8
370,13
370,3
371,4
371,10
371,4
371,4
371,1
372,11
372,2
372,8
373,6
373,16
373,5
373,18
373,2
374,20
374,5
374,11
375,4
375,7
375,2
375,6
376,18
376,1
376,5
377,4
377,8
377,3
377,7
378,6
379,19
379,17
379,11
380,18
380,9
380,10
381,15
381,12
381,6
381,2
381,4
382,19
383,12
383,8
384,6
385,1
386,10
386,19
386,5
386,20
387,3
387,4
387,12
388,8
388,2
389,8
389,8
389,6
389,10
389,3
390,2
390,1
390,12
391,15
392,20
392,15
392,4
392,18
393,13
393,6
393,19
393,10
393,5
394,21
394,15
394,2
395,18
396,11
396,5
396,4
396,1
397,4
398,13
399,3
399,5
400,19
401,5
402,2
402,9
402,12
402,6
403,6
403,21
403,1
403,18
403,17
404,17
404,8
404,13
404,1
405,1
405,19
406,18
406,14
407,16
407,8
407,5
408,8
408,16
408,9
409,7
409,1
410,10
411,7
411,17
411,14
411,15
412,18
412,11
413,20
414,7
414,16
414,2
414,5
415,13
415,21
416,19
416,10
416,1
417,7
417,15
417,18
417,16
417,3
418,13
418,13
418,21
418,13
418,6
419,12
419,10
419,7
419,4
419,3
420,21
420,19
421,14
422,7
423,20
423,10
423,18
423,16
424,10
424,18
424,9
425,14
426,20
427,1
427,11
428,21
428,13
428,15
428,15
429,8
429,21
430,15
430,14
430,17
431,2
431,2
431,12
431,21
432,18
432,12
433,15
433,8
434,5
434,14
434,19
434,21
435,16
435,15
435,21
435,15
435,16
436,11
436,6
436,5
437,3
437,15
437,15
438,17
438,20
438,4
439,8
439,1
440,4
440,20
440,19
441,13
441,3
441,15
441,9
441,7
442,2
442,15
443,18
443,16
443,16
443,14
443,3
444,3
444,19
444,1
444,20
444,9
445,1
445,1
446,9
446,6
446,3
447,7
447,5
448,18
448,17
448,17
448,7
449,4
449,18
449,19
449,13
449,9
450,9
450,8
450,13
450,14
451,3
451,13
451,1
452,19
452,13
452,5
452,6
452,10
453,19
453,1
453,15
453,6
454,21
454,17
454,3
454,8
455,12
455,17
456,5
457,18
457,9
458,2
458,19
458,17
459,6
459,15
459,17
459,4
459,2
460,9
460,12
460,21
461,13
461,7
462,8
462,14
462,17
463,4
464,8
464,2
465,11
465,15
466,15
466,10
466,1
466,20
466,8
467,20
467,18
468,15
468,1
468,15
468,3
468,21
469,9
469,1
470,10
470,5
470,17
470,19
471,15
472,14
472,15
473,5
474,11
474,1
475,17
475,16
475,1
476,13
476,3
477,16
477,16
477,9
477,15
478,19
479,11
480,19
481,20
481,21
481,10
481,10
481,1
482,4
482,16
482,9
482,21
482,15
483,4
483,8
483,18
483,9
484,3
484,12
484,1
484,16
485,20
485,15
486,16
486,8
486,7
486,10
487,17
488,20
488,11
488,17
488,12
489,17
489,5
489,15
489,16
490,13
490,16
491,17
491,4
491,17
491,6
491,13
492,16
492,13
492,1
492,4
492,11
493,4
493,19
493,10
494,13
494,7
494,20
494,4
494,15
495,12
496,19
496,20
497,1
497,16
497,6
497,9
498,2
498,5
498,13
498,1
498,21
499,14
500,13
501,2
501,16
501,3
501,18
501,18
502,17
502,19
503,16
504,12
505,7
505,9
505,1
505,2
505,18
506,1
506,16
506,20
507,8
507,8
508,9
508,19
508,16
509,18
510,9
510,16
510,12
511,14
511,10
511,2
512,8
512,7
512,10
513,17
513,16
514,1
515,18
516,8
516,7
517,20
517,17
517,4
517,5
518,19
518,2
519,13
519,19
519,21
520,3
520,1
521,20
521,12
521,3
522,2
522,6
522,15
522,18
522,21
523,10
523,19
523,15
523,3
523,16
524,15
524,1
524,7
524,12
525,5
525,9
525,14
525,11
526,8
526,21
526,13
526,13
527,13
527,9
528,13
528,16
529,21
530,12
530,10
530,17
530,10
530,16
531,20
531,20
532,10
532,20
532,19
533,13
534,20
534,9
534,11
535,7
535,5
536,2
536,12
536,8
536,21
536,8
537,1
537,11
537,12
537,18
537,18
538,1
538,2
538,2
538,1
539,21
539,13
540,12
540,3
541,3
542,4
542,17
542,13
542,16
542,5
543,16
543,21
543,3
543,1
543,10
544,16
545,9
546,7
546,21
546,8
547,8
547,5
547,11
547,13
548,17
548,16
548,13
548,12
549,5
549,11
549,9
550,1
551,20
552,16
553,7
553,12
553,17
553,15
554,10
554,20
554,1
555,12
555,14
556,19
556,11
556,8
556,13
557,18
557,16
557,13
558,1
558,1
558,10
558,14
559,8
559,17
559,11
559,19
560,4
560,5
560,20
561,5
561,14
561,3
561,5
561,4
562,5
562,1
562,21
562,2
562,12
563,3
563,17
563,18
564,2
564,2
564,10
564,1
565,11
565,4
565,20
565,21
566,2
566,4
566,15
567,16
567,15
567,19
567,12
567,20
568,9
